Epoch,Training accuracy,Testing accuracy
1,85.17125,84.13000000000001
2,90.1775,89.0
3,93.025,91.39500000000001
4,93.63375,91.995
5,94.0725,92.24
6,94.84625,92.955
7,95.64,93.66499999999999
8,95.25125,93.355
9,92.79375,90.765
10,96.34875000000001,94.24
11,96.54,94.47
12,95.04375,92.88
13,95.285,93.015
14,95.865,93.52000000000001
15,96.885,94.59
16,96.70375,94.49
17,96.525,94.24
18,95.9325,93.57
19,96.88875,94.49499999999999
20,96.86,94.59
21,96.98375,94.56
22,95.55,92.985
23,96.41499999999999,94.08
24,97.24625,95.00999999999999
25,96.94874999999999,94.57
26,93.305,91.315
27,97.065,94.715
28,96.7325,94.48
29,97.155,95.0
30,90.57625,88.7
